start,open,high,low,close,volume,trades,action
1546934400000,3953.14,3974.2,3948.75,3960.64,1238.26706,8248,1
1546938000000,3960.67,3982,3958.48,3973.62,1716.9012609999995,11705,1
1546941600000,3972.12,3982.25,3964,3980.69,1303.373959,8795,1
1546945200000,3981.81,4018,3967.93,4001.59,2222.3159670000005,11732,0
1546948800000,4002.32,4007,3988.64,3988.83,1582.579228,9312,1
1546952400000,3989.16,4039,3988.83,4026.72,2585.6722900000004,14449,0
1546956000000,4027.3,4028.19,4002.76,4008.81,2165.9034700000007,12632,0
1546959600000,4008.81,4069.8,3981,4000.48,4677.308971999998,19243,0
1546963200000,4002.04,4007.84,3938.82,3968.77,3645.257845,16584,0
1546966800000,3970.76,3984.4,3956,3962,1615.9689720000003,9218,0
1546970400000,3962,3977.06,3954,3968.46,892.0641590000001,7445,0
1546974000000,3969.42,3983,3957.93,3976.12,906.0551190000002,7457,0
1546977600000,3976.11,3985.8,3965.4,3965.4,771.5594729999998,6980,0
1546981200000,3965.4,3976.46,3960.9,3963.23,682.3324589999999,6762,0
1546984800000,3963.34,3968.47,3952.3,3967.83,607.3329679999998,6893,0
1546988400000,3967.83,3971.4,3903,3955.13,2516.9600560000017,11491,0
1546992000000,3955.45,3970.47,3930.04,3955.73,1725.7426030000001,9863,0
1546995600000,3955.76,3997.74,3936.26,3986,2380.5452659999996,12377,0
1546999200000,3985.74,3999.89,3977.3,3980.64,1439.526341000001,9403,0
1547002800000,3981.89,3992.75,3977.42,3981.03,986.8126419999999,8580,0
1547006400000,3981.98,4002,3981.03,3994,928.3130630000005,7693,0
1547010000000,3994,3999.2,3983,3987.98,802.9101910000003,6818,0
1547013600000,3988.19,3990,3978,3986.63,801.9343309999998,6577,0
1547017200000,3986.44,4000,3985.02,3987.88,797.7263419999999,7111,0
1547020800000,3987.76,3991.78,3971.11,3982.54,1076.596718,7673,0
1547024400000,3982.85,3996.98,3976,3978,930.436261,7702,0
1547028000000,3977.7,3987.07,3971.5,3982.77,1215.609054,7315,0
1547031600000,3982.53,4006.81,3980.58,3986.44,1377.455574,8565,0
1547035200000,3985.52,3996.3,3956,3976.72,1947.4094779999984,10539,0
1547038800000,3976.86,3977.71,3952,3968.09,1406.145935,8716,0
1547042400000,3968.07,3968.11,3941,3951.22,1689.845892,9591,0
1547046000000,3951.22,3971.18,3942.39,3958.28,1552.4135640000009,9030,0
1547049600000,3957.59,3977.93,3952.44,3963.03,1328.487833,8672,0
1547053200000,3965.05,3972,3955.68,3968,888.1020250000001,7370,0
1547056800000,3967.14,3975,3958,3971.38,815.1425959999999,7004,0
1547060400000,3970.06,3983.66,3964.79,3978.34,920.1834720000002,6935,0
1547064000000,3978.98,3981,3961,3967,881.4744549999998,7683,0
1547067600000,3967,3990,3955,3966.48,1534.088939,11169,0
1547071200000,3966.23,3977.67,3962.21,3967.4,851.9472040000004,8064,0
1547074800000,3968.59,3973.55,3961.88,3966.65,710.5897319999999,6194,0
1547078400000,3966.06,3989.81,3963.7,3987.66,877.7880539999999,7602,0
1547082000000,3988.76,3993.46,3974.31,3982.44,1018.1058540000001,8276,0
1547085600000,3982.54,3985,3975.02,3981,901.0109830000001,7000,0
1547089200000,3981,3990.49,3975.13,3978.94,1111.3810740000001,8597,0
1547092800000,3978.96,3993.82,3976.14,3993,1075.4558870000003,8876,0
1547096400000,3993,3996.01,3986.57,3989.79,1464.983995,11295,0
1547100000000,3988.57,3990.47,3731.01,3781.31,11092.600113,43227,0
1547103600000,3779.63,3784.73,3747.61,3777.02,4132.6958700000005,22879,0
1547107200000,3777.54,3783.32,3752.5,3759.07,2371.377103000001,15197,0
1547110800000,3757.89,3766.51,3715.65,3732.79,4205.651454999997,26337,0
1547114400000,3732.77,3751.12,3725,3736.45,1579.2900620000012,13710,0
1547118000000,3735.46,3744.7,3720,3739.99,1961.5282359999992,13527,0
1547121600000,3738.01,3750,3728.06,3732.81,1439.6571040000006,10911,0
1547125200000,3732.81,3736.11,3707.07,3725.62,2036.145041000001,14563,0
1547128800000,3725.19,3732.98,3713.3,3726.32,1921.4618839999998,12308,0
1547132400000,3726.32,3735.65,3713.4,3726.39,1861.669661,12439,0
1547136000000,3726.79,3726.79,3540,3583.21,8950.301647999997,37683,0
1547139600000,3583.21,3588.78,3561.6,3574.18,1842.2524700000006,11717,0
